compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
Co0.3Re2.7N2,210.6,520.43886,4.455,5.532,6.435,25.905,23.6403,40.386,0.603,5.694,15.6,21.6,59.424,20.22,159.6,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Fe0.6Re2.4N2,195.6,480.405,4.416,5.448,6.372,25.5,23.6538,42.2454,0.4578,5.658,15.6,21.6,55.1724,19.44,163.2,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Ni0.3Re2.7N2,210.9,520.3689,4.449,5.523,6.348,25.872,23.568,40.7127,0.753,5.703,15.9,21.9,59.4249,19.32,156.9,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Co0.6Re2.4N2,196.2,482.25672,4.38,5.424,6.36,25.26,23.6406,41.592,0.756,5.688,16.2,22.2,55.788,23.64,175.2,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Mn0.6Pd2.4N2,125.4,288.3228,4.17,5.022,6.03,25.8,24.4692,56.76,1.3368,6.21,27,42.6,33.3372,24.372,177.48,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Ni0.6Re2.4N2,196.8,482.1168,4.368,5.406,6.186,25.194,23.496,42.2454,1.056,5.706,16.8,22.8,55.7898,21.84,169.8,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Fe1.5Re1.5N2,151.5,363.081,4.245,5.16,6.165,23.925,23.6745,46.8435,0.4695,5.595,16.5,22.5,43.341,23.4,192,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Co1.5Re1.5N2,153,367.7103,4.155,5.1,6.135,23.325,23.6415,45.21,1.215,5.67,18,24,44.88,33.9,222,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.55
Co0.3Mo2.7N2,121.5,276.71796,4.536,5.586,6.219,27.39,21.5127,48.783,2.2095,6.396,15.6,18.9,30.426,59.1,405.3,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.56
Mn0.6Cd2.4N2,130.2,302.7228,4.29,4.83,4.974,35.88,26.046,50.8272,0,4.986,27,33,25.242,33.972,237.48,14,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6,10,0.002502,100,0.56
