compound,feat_1,feat_11,feat_24,feat_29,label,,,,,,,,,,label
Ni0.3Re2.7N2,210.9,15.9,0.14,50,0.45,,1.150273799,18.2893534,11.53129886,,,,,1.32342E-06,0.94
Co0.3Re2.7N2,210.6,15.6,0.14,50,0.45,,1.150273799,17.94427126,11.73633618,,,,,1.32342E-06,0.94
Co0.6Re2.4N2,196.2,16.2,0.14,50,0.45,,1.150273799,18.63443554,10.52889418,,,,,1.32342E-06,1.13
Fe0.6Re2.4N2,195.6,15.6,0.14,50,0.45,,1.150273799,17.94427126,10.9004148,,,,,1.32342E-06,1.29
Co1.5Re1.5N2,153,18,0.14,50,0.46,,1.150273799,20.70492838,7.389545001,,,,,1.34577E-06,0.94
Fe1.5Re1.5N2,151.5,16.5,0.14,50,0.46,,1.150273799,18.97951768,7.982289252,,,,,1.34577E-06,0.94
Mn0.6Pd2.4N2,125.4,27,0.14,50,0.46,,1.150273799,31.05739257,4.037686027,,,,,1.34577E-06,1.13
Ni0.6Re2.4N2,196.8,16.8,0.14,50,0.46,,1.150273799,19.32459982,10.18391076,,,,,1.34577E-06,1.29
Co0.3Mo2.7N2,121.5,15.6,0.14,50,0.46,,1.150273799,17.94427126,6.77096318,,,,,1.35494E-06,0.94
Ni0.3Cd2.7N2,138,29.4,0.14,50,0.47,,1.150273799,33.81804969,4.080661105,,,,,1.35494E-06,0.94
Co0.3Cd2.7N2,137.7,29.1,0.14,50,0.47,,1.150273799,33.47296755,4.11376732,,,,,1.35494E-06,1.29
Fe0.3Cd2.7N2,137.4,28.8,0.14,50,0.47,,1.150273799,33.12788541,4.147563248,,,,,1.35494E-06,1.13
Mn0.3Cd2.7N2,137.1,28.5,0.14,50,0.47,,1.150273799,32.78280327,4.182070669,,,,,1.3643E-06,0.94
Cr0.3Cd2.7N2,136.8,28.2,0.14,50,0.47,,1.150273799,32.43772113,4.217312291,,,,,1.3643E-06,0.94
Fe0.6Cd2.4N2,130.8,27.6,0.14,50,0.47,,1.150273799,31.74755685,4.120002072,,,,,1.3643E-06,1.13
Cd3N2,144,30,0.14,50,0.47,,1.150273799,34.50821397,4.17291953,,,,,1.3643E-06,1.29
Co0.6Cd2.4N2,131.4,28.2,0.14,50,0.47,,1.150273799,32.43772113,4.050839437,,,,,1.36906E-06,0.94
Cr0.6Cd2.4N2,129.6,26.4,0.14,50,0.47,,1.150273799,30.36722829,4.26775861,,,,,1.36906E-06,1.32
Mn0.6Cd2.4N2,130.2,27,0.14,50,0.47,,1.150273799,31.05739257,4.192238602,,,,,1.36906E-06,0.94
Mn0.3Pd2.7N2,131.7,28.5,0.14,50,0.48,,1.150273799,32.78280327,4.017350161,,,,,1.36906E-06,0.68
Pd3N2,138,30,0.14,50,0.48,,1.150273799,34.50821397,3.999047883,,,,,1.36906E-06,0.68
Cr0.3Pd2.7N2,131.4,28.2,0.14,50,0.48,,1.150273799,32.43772113,4.050839437,,,,,1.36906E-06,1.16
Ni0.3Pd2.7N2,132.6,29.4,0.14,50,0.48,,1.150273799,33.81804969,3.920983062,,,,,1.36906E-06,1.01
Cr0.6Pd2.4N2,124.8,26.4,0.14,50,0.48,,1.150273799,30.36722829,4.109693476,,,,,1.36906E-06,1.13
Mn1.5Os1.5N2,151.5,16.5,0.14,50,0.48,,1.150273799,18.97951768,7.982289252,,,,,1.37386E-06,0.94
Fe0.6Pd2.4N2,126,27.6,0.14,50,0.48,,1.150273799,31.74755685,3.968809336,,,,,1.37386E-06,0.94
Co0.6Pd2.4N2,126.6,28.2,0.14,50,0.48,,1.150273799,32.43772113,3.902863567,,,,,1.37386E-06,1.29
Ni0.6Pd2.4N2,127.2,28.8,0.14,50,0.48,,1.150273799,33.12788541,3.83966554,,,,,1.37386E-06,1.13
Fe0.3Pd2.7N2,132,28.8,0.14,50,0.48,,1.150273799,33.12788541,3.984558579,,,,,1.38362E-06,1.1
Co0.3Pd2.7N2,132.3,29.1,0.14,50,0.48,,1.150273799,33.47296755,3.952443111,,,,,1.38362E-06,1.29
Fe1.5Os1.5N2,153,18,0.14,50,0.48,,1.150273799,20.70492838,7.389545001,,,,,1.38362E-06,0.94
Co1.5W1.5N2,151.5,16.5,0.14,50,0.49,,1.150273799,18.97951768,7.982289252,,,,,1.38362E-06,0.94
Ni0.6Cd2.4N2,132,28.8,0.14,50,0.49,,1.150273799,33.12788541,3.984558579,,,,,1.38768E-06,1.01
Mn1.5Pd1.5N2,106.5,22.5,0.14,50,0.52,,1.150273799,25.88116047,4.114962314,,,,,1.38768E-06,0.73
Fe1.5Mo1.5N2,102,16.5,0.14,50,0.52,,1.150273799,18.97951768,5.374214546,,,,,1.38768E-06,0.73
Fe1.5Pd1.5N2,108,24,0.14,50,0.52,,1.150273799,27.60657117,3.912112059,,,,,1.38768E-06,1.16
Mn1.5Cd1.5N2,109.5,22.5,0.14,50,0.53,,1.150273799,25.88116047,4.230876746,,,,,1.38848E-06,0.94
Fe1.5Cd1.5N2,111,24,0.14,50,0.53,,1.150273799,27.60657117,4.020781839,,,,,1.38848E-06,0.94
Mn1.5Rh1.5N2,105,19.5,0.14,50,0.54,,1.150273799,22.43033908,4.681159729,,,,,1.38848E-06,1.13
Fe1.5Rh1.5N2,106.5,21,0.14,50,0.54,,1.150273799,24.15574978,4.408888194,,,,,1.38848E-06,1.29
Fe1.5Ru1.5N2,105,19.5,0.14,50,0.54,,1.150273799,22.43033908,4.681159729,,,,,1.39729E-06,0.68
Co1.5Mo1.5N2,103.5,18,0.14,50,0.54,,1.150273799,20.70492838,4.998809854,,,,,1.39729E-06,1.16
Cr1.5Pd1.5N2,105,21,0.14,50,0.54,,1.150273799,24.15574978,4.346791177,,,,,1.39729E-06,0.68
Co0.6Mo2.4N2,117,16.2,0.14,50,0.54,,1.150273799,18.63443554,6.278698367,,,,,1.39729E-06,1.01
Co1.5Pd1.5N2,109.5,25.5,0.14,50,0.54,,1.150273799,29.33198187,3.73312654,,,,,1.40709E-06,0.68
Fe0.6Mo2.4N2,116.4,15.6,0.14,50,0.54,,1.150273799,17.94427126,6.48674991,,,,,1.40709E-06,0.75
Ni1.5Re1.5N2,154.5,19.5,0.14,50,0.55,,1.150273799,22.43033908,6.887992173,,,,,1.40709E-06,0.68
Mn0.2Mo0.8N,38.6,5,0.07,50,0.55,,1.072508181,5.362540906,7.19808029,,,,,1.40709E-06,0.75
Co0.1Mo0.9N,40.5,5.2,0.07,50,0.55,,1.072508181,5.577042543,7.261913405,,,,,1.40709E-06,1.01
Ni0.1Mo0.9N,40.6,5.3,0.07,50,0.55,,1.072508181,5.684293361,7.142488507,,,,,1.40709E-06,1.01
Co0.2Mo0.8N,39,5.4,0.07,50,0.55,,1.072508181,5.791544179,6.733955366,,,,,1.40709E-06,1.16
Fe0.2Mo0.8N,38.8,5.2,0.07,50,0.55,,1.072508181,5.577042543,6.957092349,,,,,1.40709E-06,1.24
Cr0.1Mo0.9N,40.2,4.9,0.07,50,0.56,,1.072508181,5.255290088,7.649435012,,,,,1.40874E-06,0.94
Cr0.2Mo0.8N,38.4,4.8,0.07,50,0.56,,1.072508181,5.14803927,7.459150559,,,,,1.40874E-06,1.29
Mn0.1Mo0.9N,40.3,5,0.07,50,0.56,,1.072508181,5.362540906,7.515094188,,,,,1.40874E-06,0.94
Ni1.5Ta1.5N2,151.5,16.5,0.14,50,0.56,,1.150273799,18.97951768,7.982289252,,,,,1.40874E-06,1.13
Mn1.5Ir1.5N2,153,18,0.14,50,0.57,,1.150273799,20.70492838,7.389545001,,,,,1.4171E-06,0.68
Fe0.1Mo0.9N,40.4,5.1,0.07,50,0.57,,1.072508181,5.469791724,7.386021632,,,,,1.4171E-06,0.68
Fe1.5Ce1.5N2,126,10.5,0.14,50,0.58,,1.150273799,12.07787489,10.43229882,,,,,1.4171E-06,1.01
Fe1.5La1.5N2,124.5,10.5,0.14,50,0.58,,1.150273799,12.07787489,10.30810479,,,,,1.4171E-06,1.16
Co0.6Hf2.4N2,189,9,0.14,50,0.58,,1.150273799,10.35246419,18.25652294,,,,,1.42732E-06,1.01
Ta3N2,219,9,0.14,50,0.59,,1.150273799,10.35246419,21.15438373,,,,,1.42732E-06,1.01
Re3N2,225,15,0.14,50,0.59,,1.150273799,17.25410698,13.04037353,,,,,1.42732E-06,1.16
Cr0.6Re2.4N2,194.4,14.4,0.14,50,0.59,,1.150273799,16.5639427,11.73633618,,,,,1.42732E-06,1.16
Fe0.6Ta2.4N2,190.8,10.8,0.14,50,0.59,,1.150273799,12.42295703,15.35866216,,,,,1.42732E-06,0.68
Mn0.6Ta2.4N2,190.2,10.2,0.14,50,0.59,,1.150273799,11.73279275,16.21097415,,,,,1.42732E-06,0.68
Cr0.6Ta2.4N2,189.6,9.6,0.14,50,0.59,,1.150273799,11.04262847,17.16982515,,,,,1.42732E-06,0.73
Cr0.3Ta2.7N2,204.3,9.3,0.14,50,0.59,,1.150273799,10.69754633,19.09783736,,,,,1.42732E-06,0.73
Mn0.3Ta2.7N2,204.6,9.6,0.14,50,0.59,,1.150273799,11.04262847,18.52819739,,,,,1.4299E-06,0.94
Fe0.3Ta2.7N2,204.9,9.9,0.14,50,0.59,,1.150273799,11.38771061,17.99308105,,,,,1.4299E-06,1.13
Co0.6Ta2.4N2,191.4,11.4,0.14,50,0.59,,1.150273799,13.11312131,14.59606722,,,,,1.4299E-06,1.29
Ni0.3Ta2.7N2,205.5,10.5,0.14,50,0.59,,1.150273799,12.07787489,17.01458261,,,,,1.4299E-06,0.94
Cr0.3Re2.7N2,209.7,14.7,0.14,50,0.59,,1.150273799,16.90902484,12.40166136,,,,,1.44512E-06,0.94
Mn0.3Re2.7N2,210,15,0.14,50,0.59,,1.150273799,17.25410698,12.1710153,,,,,1.44512E-06,0.94
Fe0.3Re2.7N2,210.3,15.3,0.14,50,0.59,,1.150273799,17.59918912,11.94941418,,,,,1.44512E-06,1.13
Co0.3Ta2.7N2,205.2,10.2,0.14,50,0.59,,1.150273799,11.73279275,17.48944215,,,,,1.44512E-06,1.32
Cr1.5Hf1.5N2,144,9,0.14,50,0.59,,1.150273799,10.35246419,13.90973177,,,,,1.44842E-06,0.68
Ni0.6Hf2.4N2,189.6,9.6,0.14,50,0.59,,1.150273799,11.04262847,17.16982515,,,,,1.44842E-06,1.16
Fe1.5Hf1.5N2,147,12,0.14,50,0.59,,1.150273799,13.80328559,10.64963838,,,,,1.44842E-06,0.68
Cr1.5Re1.5N2,148.5,13.5,0.14,50,0.59,,1.150273799,15.52869628,9.562940589,,,,,1.44842E-06,1.01
Co1.5Hf1.5N2,148.5,13.5,0.14,50,0.59,,1.150273799,15.52869628,9.562940589,,,,,1.45203E-06,0.94
Fe1.5Ta1.5N2,148.5,13.5,0.14,50,0.59,,1.150273799,15.52869628,9.562940589,,,,,1.45203E-06,1.1
Mn1.5W1.5N2,148.5,13.5,0.14,50,0.59,,1.150273799,15.52869628,9.562940589,,,,,1.45203E-06,0.94
Cr1.5Cd1.5N2,108,21,0.14,50,0.59,,1.150273799,24.15574978,4.470985211,,,,,1.45203E-06,1.29
Co1.5Cd1.5N2,112.5,25.5,0.14,50,0.59,,1.150273799,29.33198187,3.83540398,,,,,1.47047E-06,0.68
Co1.5Ce1.5N2,127.5,12,0.14,50,0.6,,1.150273799,13.80328559,9.236931251,,,,,1.47047E-06,0.68
Co1.5La1.5N2,126,12,0.14,50,0.6,,1.150273799,13.80328559,9.128261472,,,,,1.47047E-06,0.94
