compound,overpotential,
Ni0.3Re2.7N2,0.45352778,
Co0.3Re2.7N2,0.45352778,
Co0.6Re2.4N2,0.45352778,
Fe0.6Re2.4N2,0.45352778,
Co1.5Re1.5N2,0.45999599,
Fe1.5Re1.5N2,0.45999599,
Mn0.6Pd2.4N2,0.45999599,
Ni0.6Re2.4N2,0.45999599,
Co0.3Mo2.7N2,0.46360505,
Ni0.3Cd2.7N2,0.4707361,
Co0.3Cd2.7N2,0.4707361,
Fe0.3Cd2.7N2,0.4707361,
Mn0.3Cd2.7N2,0.4707361,
Cr0.3Cd2.7N2,0.4707361,
Fe0.6Cd2.4N2,0.4707361,
Cd3N2,0.4707361,
Co0.6Cd2.4N2,0.4707361,
Cr0.6Cd2.4N2,0.4707361,
Mn0.6Cd2.4N2,0.4707361,
Mn0.3Pd2.7N2,0.47679302,
Pd3N2,0.47679302,
Cr0.3Pd2.7N2,0.47679302,
Ni0.3Pd2.7N2,0.47679302,
Cr0.6Pd2.4N2,0.47679302,
Mn1.5Os1.5N2,0.47679302,
Fe0.6Pd2.4N2,0.47679302,
Co0.6Pd2.4N2,0.47679302,
Ni0.6Pd2.4N2,0.47679302,
Fe0.3Pd2.7N2,0.47679302,
Co0.3Pd2.7N2,0.47679302,
Fe1.5Os1.5N2,0.47679302,
Co1.5W1.5N2,0.4852189,
Ni0.6Cd2.4N2,0.48816362,
Mn1.5Pd1.5N2,0.52091485,
Fe1.5Mo1.5N2,0.52091485,
Fe1.5Pd1.5N2,0.52091485,
Mn1.5Cd1.5N2,0.53165495,
Fe1.5Cd1.5N2,0.53165495,
Mn1.5Rh1.5N2,0.5377119,
Fe1.5Rh1.5N2,0.5377119,
Fe1.5Ru1.5N2,0.5377119,
Co1.5Mo1.5N2,0.5377119,
Cr1.5Pd1.5N2,0.5377119,
Co0.6Mo2.4N2,0.5377119,
Co1.5Pd1.5N2,0.5377119,
Fe0.6Mo2.4N2,0.5377119,
Ni1.5Re1.5N2,0.54854584,
Mn0.2Mo0.8N,0.5497693,
Co0.1Mo0.9N,0.55083305,
Ni0.1Mo0.9N,0.55083305,
Co0.2Mo0.8N,0.55083305,
Fe0.2Mo0.8N,0.55083305,
Cr0.1Mo0.9N,0.55533934,
Cr0.2Mo0.8N,0.55533934,
Mn0.1Mo0.9N,0.55533934,
Ni1.5Ta1.5N2,0.5569717,
Mn1.5Ir1.5N2,0.57057214,
Fe0.1Mo0.9N,0.5707911,
Fe1.5Ce1.5N2,0.5789084,
Fe1.5La1.5N2,0.5789084,
Co0.6Hf2.4N2,0.5789084,
Ta3N2,0.58562815,
Re3N2,0.58562815,
Cr0.6Re2.4N2,0.58562815,
Fe0.6Ta2.4N2,0.58562815,
Mn0.6Ta2.4N2,0.58562815,
Cr0.6Ta2.4N2,0.58562815,
Cr0.3Ta2.7N2,0.58562815,
Mn0.3Ta2.7N2,0.58562815,
Fe0.3Ta2.7N2,0.58562815,
Co0.6Ta2.4N2,0.58562815,
Ni0.3Ta2.7N2,0.58562815,
Cr0.3Re2.7N2,0.58562815,
Mn0.3Re2.7N2,0.58562815,
Fe0.3Re2.7N2,0.58562815,
Co0.3Ta2.7N2,0.58562815,
Cr1.5Hf1.5N2,0.5920964,
Ni0.6Hf2.4N2,0.5920964,
Fe1.5Hf1.5N2,0.5920964,
Cr1.5Re1.5N2,0.5920964,
Co1.5Hf1.5N2,0.5920964,
Fe1.5Ta1.5N2,0.5920964,
Mn1.5W1.5N2,0.5920964,
Cr1.5Cd1.5N2,0.59266764,
Co1.5Cd1.5N2,0.59266764,
Co1.5Ce1.5N2,0.59570545,
Co1.5La1.5N2,0.59570545,
Fe0.6Hf2.4N2,0.6014297,
Cr0.6Hf2.4N2,0.6014297,
Mn0.3W2.7N2,0.6024252,
Mn0.6W2.4N2,0.6024252,
Mo3N2,0.60413134,
Mn0.6Re2.4N2,0.60814947,
Ni0.6Ta2.4N2,0.60889345,
Fe0.6W2.4N2,0.60889345,
Fe1.5W1.5N2,0.60889345,
Cr1.5Ta1.5N2,0.60889345,
Co1.5Ta1.5N2,0.60889345,
Ni1.5Cd1.5N2,0.6094647,
Mn1.5Ag1.5N2,0.6094647,
Fe1.5Ag1.5N2,0.6094647,
Fe0.3W2.7N2,0.6108511,
Cr1.5W1.5N2,0.61731935,
