train_pred,train_truth
0.9120000000000001,0.88
1.57,1.57
1.89,1.89
0.9120000000000001,0.88
1.38,1.38
0.69,0.69
0.9120000000000001,1.04
1.45,1.45
0.9120000000000001,0.88
1.236,1.26
1.17,1.17
2.54,2.54
0.56,0.56
1.14,1.14
1.365,1.33
1.98,1.98
0.56,0.56
1.69,1.69
1.17,1.17
2.12,2.12
2.07,2.07
1.4449999999999998,1.4
1.365,1.4
1.58,1.58
1.73,1.73
1.236,1.19
1.17,1.17
1.28,1.28
1.3,1.3
1.38,1.38
0.7,0.7
1.236,1.23
1.87,1.87
1.15,1.15
0.69,0.69
0.9120000000000001,0.88
1.236,1.2
1.236,1.3
1.04,1.04
0.74,0.74
2.18,2.18
1.4449999999999998,1.49
0.7,0.7
1.96,1.96
0.74,0.74
