train_pred,train_truth
1.2531457,1.25
1.751093,1.81
1.3858808,1.38
1.7983164,1.76
0.6547802,0.74
1.2604045,1.19
2.0199103,1.98
1.8582231,1.93
0.8455954,0.82
1.9155197,1.99
1.6404032,1.7
1.4363816,1.51
0.6547802,0.74
1.452244,1.52
1.644877,1.66
1.0967599,1.09
0.9401695,0.88
1.7829823,1.8
1.8884757,1.9
2.0835323,2.18
1.9022233,1.89
0.8455954,0.82
0.9456475,0.91
1.7967467,1.83
1.5463766,1.58
1.8757879,1.87
1.1856514,1.17
1.6094016,1.69
1.0271276,0.96
1.1856514,1.17
1.4415402,1.55
1.1436977,1.15
1.3869632,1.43
1.6506501,1.63
1.2837708,1.28
1.8815352,1.82
1.2023346,1.2
1.9203671,1.96
1.014537,1.04
1.4732062,1.43
1.4739215,1.46
1.4071739,1.4
1.7024269,1.71
1.2935569,1.3
1.9656405,1.87
1.5561727,1.55
1.4885427,1.46
1.014537,1.04
1.428026,1.54
1.302011,1.32
2.013657,2.07
1.1604807,1.13
1.1436977,1.15
1.8407778,1.82
1.3143774,1.3
1.8048316,1.79
1.250174,1.29
1.8066635,1.87
1.1890928,1.17
1.7458785,1.82
1.2449445,1.28
1.0271276,0.96
1.7721095,1.78
0.5575401,0.56
1.6747855,1.64
1.6772878,1.57
1.7557846,1.69
1.177361,1.19
1.4188755,1.45
1.2811804,1.28
1.177361,1.19
1.8099042,1.85
1.6219175,1.63
1.2023346,1.19
1.8999741,1.87
1.1604807,1.13
1.4758142,1.42
1.3461876,1.38
0.9401695,0.88
1.2604045,1.19
0.5575401,0.56
1.4979557,1.38
1.1630651,1.14
1.8553283,1.83
1.6915541,1.73
1.8798021,1.96
2.313636,2.54
1.3048524,1.33
1.1630651,1.14
1.7810901,1.74
1.1890928,1.17
1.2023346,1.19
1.2683148,1.26
1.0967599,1.09
1.276859,1.3
1.7612582,1.73
1.7076705,1.73
1.8662012,1.87
1.4704591,1.4
0.9456475,0.91
1.839189,1.8
