train_pred,train_truth
1.7594562,1.76
1.3816442,1.38
1.8330541,1.83
1.779885,1.78
0.68894345,0.69
0.8808329,0.88
0.90639263,0.91
1.5447792,1.54
1.659224,1.66
1.7899653,1.79
1.6579906,1.66
1.0382688,1.04
0.95932615,0.96
1.7891762,1.79
1.6380895,1.64
1.2029439,1.2
1.8857092,1.89
1.4499592,1.45
1.7008569,1.7
1.5940119,1.59
1.6377114,1.64
1.4804547,1.48
1.3299354,1.33
1.5406959,1.54
1.8678819,1.87
1.6586192,1.66
1.3078911,1.31
1.6391896,1.64
1.7000754,1.7
1.8992351,1.9
1.7110708,1.71
1.938231,1.94
1.4005592,1.4
1.5778655,1.58
1.2291294,1.23
1.1945081,1.2
1.0408559,1.04
1.418764,1.42
1.8698947,1.87
1.1408175,1.14
1.8507235,1.85
0.8808329,0.88
1.5526699,1.55
1.847505,1.85
1.1897948,1.19
2.0714338,2.07
1.2548387,1.25
1.5822796,1.58
1.3914082,1.39
1.5032552,1.51
1.7318981,1.73
1.194404,1.19
1.194404,1.19
1.219008,1.22
1.520901,1.52
0.90639263,0.91
1.1213036,1.12
1.3242483,1.33
1.6957499,1.7
1.929149,1.93
1.9610023,1.96
1.2861183,1.29
1.5813267,1.58
1.5035225,1.5
1.3447465,1.34
1.3817391,1.38
1.9907086,1.99
1.169249,1.17
1.6913718,1.69
1.5898596,1.59
0.7410013,0.74
1.80968,1.81
1.6990436,1.7
0.5606759,0.56
1.4472849,1.45
1.6306807,1.63
1.7306936,1.73
1.7370679,1.74
1.6391691,1.64
1.2300191,1.23
1.6316432,1.63
1.8049939,1.8
1.7398236,1.74
1.1699368,1.17
1.0382688,1.04
1.7493787,1.75
1.8195388,1.82
1.422739,1.42
1.5064327,1.51
1.6107485,1.61
0.5606759,0.56
1.6188675,1.62
1.7402915,1.74
1.4958606,1.5
2.1765206,2.18
1.3095815,1.31
1.2835779,1.28
1.1699368,1.17
1.659963,1.66
1.7813746,1.78
1.1408175,1.14
1.1897948,1.19
1.4288106,1.43
1.6106664,1.61
1.130662,1.13
1.5340602,1.54
1.800295,1.8
1.5719131,1.57
1.1709025,1.17
1.3964087,1.4
1.3610876,1.36
1.3002317,1.3
1.5494753,1.54
1.2496736,1.25
1.3601456,1.36
1.25349,1.25
1.6524675,1.66
1.8136877,1.82
1.169949,1.17
1.3860036,1.38
1.3438259,1.35
1.3291065,1.33
1.1213036,1.12
1.1498364,1.15
1.7162745,1.72
1.5216055,1.52
0.8202344,0.82
1.5733384,1.57
1.487992,1.49
1.2804574,1.28
1.3409328,1.34
1.6439685,1.64
1.4187689,1.42
1.5695773,1.57
1.4580992,1.45
1.6692563,1.67
1.6490778,1.65
1.130662,1.13
1.399978,1.4
1.4660677,1.46
0.8202344,0.82
1.259262,1.26
0.95932615,0.96
1.3389907,1.34
1.169949,1.17
1.8311425,1.83
1.8723403,1.87
1.320921,1.32
0.7410013,0.74
1.7903204,1.79
1.1498364,1.15
1.169249,1.17
1.6796854,1.68
1.4979955,1.5
1.8904817,1.89
1.3892614,1.39
1.0408559,1.04
1.2793931,1.28
1.4665909,1.47
1.4332064,1.43
1.545641,1.55
1.7309036,1.73
1.7402984,1.74
0.68894345,0.69
1.8691765,1.87
1.1709025,1.17
1.7709472,1.77
1.9572887,1.96
1.823655,1.82
1.6300685,1.63
