train_pred,train_truth
1.57,1.57
1.33,1.33
1.99,1.99
1.64,1.64
1.61,1.61
1.93,1.93
1.68,1.68
1.84,1.84
1.69,1.69
2.07,2.07
1.34,1.34
1.69,1.69
0.88,0.88
1.9,1.9
1.28,1.28
1.81,1.81
1.33,1.33
1.69,1.69
0.56,0.56
1.71,1.71
1.54,1.54
0.91,0.91
1.28,1.28
1.61,1.61
1.79,1.79
1.38,1.38
1.48,1.48
1.45,1.45
1.39,1.39
1.25,1.25
1.44,1.44
1.33,1.33
1.59,1.59
1.73,1.73
1.52,1.52
1.46,1.46
1.82,1.82
1.55,1.55
1.64,1.64
1.36,1.36
1.7,1.7
2.18,2.18
1.45,1.45
1.75,1.75
1.74,1.74
1.61,1.61
2.12,2.12
1.46,1.46
1.82,1.82
1.15,1.15
1.75,1.75
1.51,1.51
1.46,1.46
1.63,1.63
1.74,1.74
1.42,1.42
1.66,1.66
1.66,1.66
1.42,1.42
1.64,1.64
1.27,1.27
1.66,1.66
1.78,1.78
1.72,1.72
1.23,1.23
1.3,1.3
1.4,1.4
1.38,1.38
1.8,1.8
1.8,1.8
1.3,1.3
1.27,1.27
1.63,1.63
1.32,1.32
0.69,0.69
1.64,1.64
1.57,1.57
0.88,0.88
1.71,1.71
1.4,1.4
1.83,1.83
0.91,0.91
1.63,1.63
1.25,1.25
1.67,1.67
1.51,1.51
1.73,1.73
1.54,1.54
1.58,1.58
1.09,1.09
1.59,1.59
1.49,1.49
1.51,1.51
1.7,1.7
1.5,1.5
1.12,1.12
1.74,1.74
1.94,1.94
1.04,1.04
1.14,1.14
1.77,1.77
1.19,1.19
1.2,1.2
1.17,1.17
1.62,1.62
0.82,0.82
1.5,1.5
1.36,1.36
1.24,1.24
1.85,1.85
1.38,1.38
1.96,1.96
1.54,1.54
1.4,1.4
1.78,1.78
1.12,1.12
1.55,1.55
1.7,1.7
1.52,1.52
1.35,1.35
2.54,2.54
1.26,1.26
1.04,1.04
1.74,1.74
1.23,1.23
1.43,1.43
1.78,1.78
1.22,1.22
1.57,1.57
1.54,1.54
1.2,1.2
0.82,0.82
1.42,1.42
1.87,1.87
1.58,1.58
1.74,1.74
0.69,0.69
0.88,0.88
1.79,1.79
1.17,1.17
1.66,1.66
1.34,1.34
1.38,1.38
1.79,1.79
1.66,1.66
1.31,1.31
1.3,1.3
1.17,1.17
1.87,1.87
1.5,1.5
0.88,0.88
1.17,1.17
1.85,1.85
1.89,1.89
1.87,1.87
1.96,1.96
0.56,0.56
