train_pred,train_truth
1.2275,1.28
1.65,1.73
1.605,1.63
1.665,1.66
1.64,1.58
1.6800000000000002,1.77
0.585,0.52
1.7750000000000001,1.75
1.82,1.8
1.2925,1.22
1.895,1.9
1.25,1.17
1.005,0.82
1.4175,1.45
1.615,1.64
0.97,0.98
1.5425,1.5
1.64,1.57
0.89,0.91
1.17,1.27
1.5625,1.62
1.4249999999999998,1.38
1.3599999999999999,1.19
1.6849999999999998,1.8
1.1975,1.17
1.67,1.57
1.2525,1.43
0.6200000000000001,0.68
1.1975,1.17
0.615,0.54
0.89,0.91
1.33,1.14
1.83,1.85
1.36,1.3
1.4149999999999998,1.45
0.89,0.87
1.17,1.08
0.49,0.52
1.1125,1.21
0.655,0.56
0.615,0.54
1.175,1.12
1.0725,1.09
1.0425,1.25
1.4274999999999998,1.58
1.4425,1.57
1.71,1.73
0.87,0.89
1.0725,1.09
1.5425,1.51
1.2725,1.19
1.4625000000000001,1.54
0.635,0.64
0.82,0.8
0.875,0.77
1.0150000000000001,1.07
1.2925,1.38
0.635,0.63
1.6400000000000001,1.69
1.665,1.74
1.2674999999999998,1.23
1.2475,1.26
1.2574999999999998,1.48
1.3625,1.4
1.01,1.1
1.3900000000000001,1.34
1.7725,1.74
1.2925,1.24
0.635,0.63
0.69,0.71
1.8175000000000001,1.78
1.8075,1.64
1.7225,1.7
1.48,1.61
1.8824999999999998,1.79
1.4,1.14
1.8075,1.78
1.3075,1.38
0.69,0.67
0.9700000000000001,1.05
1.2974999999999999,1.3
1.3075,1.31
0.89,0.91
1.4,1.14
1.18,1.19
1.48,1.33
1.6975,1.69
1.8925,2.12
1.6524999999999999,1.69
1.7750000000000001,1.79
0.55,0.46
1.6849999999999998,1.76
1.1800000000000002,1.31
1.895,1.87
1.0150000000000001,1.12
0.655,0.75
1.6400000000000001,1.66
1.7750000000000001,1.82
1.8225,1.82
1.705,2.07
0.855,0.94
1.7899999999999998,1.71
0.69,0.71
1.18,1.17
1.3175,1.04
0.875,0.98
1.415,1.39
1.11,1.27
1.17,1.08
1.2725,1.19
1.3624999999999998,1.49
0.865,0.91
1.8300000000000003,1.82
0.55,0.46
0.585,0.65
1.285,1.45
1.2200000000000002,1.29
1.7225,1.74
1.3175,1.38
1.7075,1.64
1.4249999999999998,1.4
1.5625,1.7
1.6275,1.55
1.5950000000000002,1.54
1.0725,1.29
1.6125,1.61
1.11,1.05
1.5,1.51
1.8300000000000003,1.87
0.585,0.65
1.2999999999999998,1.2
0.875,0.77
0.82,0.8
1.5625,1.54
1.06,1.07
1.265,1.3
1.3375,1.81
1.79,2.18
1.25,1.28
1.6799999999999997,1.67
0.7949999999999999,0.84
1.6775000000000002,1.66
1.3900000000000001,1.39
1.45,1.54
0.6200000000000001,0.68
1.3375,1.36
1.685,1.74
0.7,0.69
1.7225,1.7
1.81,1.72
1.285,1.39
0.87,0.89
0.635,0.64
1.8125,1.8
0.49,0.52
1.4249999999999998,1.5
1.6975,1.59
1.3075,1.32
1.48,1.46
1.5474999999999999,1.7
0.89,0.91
1.5825,1.89
1.6775,1.98
1.4425,1.42
1.7375,1.96
1.175,1.12
1.48,1.52
1.18,1.19
1.2200000000000002,1.23
1.18,1.17
1.25,1.17
1.11,1.05
1.3075,1.29
0.585,0.52
1.4149999999999998,1.48
1.2025,1.2
1.9025,1.94
0.865,0.91
1.005,0.82
0.635,0.64
1.7225000000000001,1.75
1.36,1.55
1.215,1.33
0.855,0.94
1.17,1.25
1.5625,1.58
1.46,1.47
1.83,1.83
0.9700000000000001,1.05
1.5625,1.46
1.06,1.07
1.0150000000000001,1.12
1.2575,1.35
1.4225,1.46
0.7949999999999999,0.84
1.0150000000000001,0.96
0.7,0.69
1.3599999999999999,1.19
1.0150000000000001,0.96
1.3075,1.25
0.655,0.56
1.285,1.15
1.9025,1.93
1.6400000000000001,1.64
1.5625,1.38
1.0150000000000001,1.07
1.7750000000000001,1.74
1.5474999999999999,1.51
1.04,1.16
0.97,0.98
0.69,0.67
1.5625,1.71
1.04,0.92
1.36,1.43
1.8825,1.87
1.33,1.14
1.23,1.17
1.04,0.92
1.5474999999999999,1.4
1.8525,1.85
1.7075,1.66
1.23,1.17
1.4575,1.52
1.47,1.42
1.2925,1.33
1.36,1.51
0.89,0.87
1.04,1.16
1.01,1.1
0.635,0.64
1.79,1.63
0.655,0.75
1.6975,1.84
0.875,0.98
1.6849999999999998,1.63
1.3175,1.04
1.2075,1.36
1.285,1.15
1.4949999999999999,1.28
1.4449999999999998,1.99
