train_pred,train_truth
1.45,1.45
0.88,0.88
1.03,1.03
1.39,1.39
1.16,1.16
1.54,1.54
1.94,1.94
1.4,1.4
1.26,1.26
1.58,1.58
1.66,1.66
1.06,1.06
1.24,1.24
1.08,1.08
1.71,1.71
1.47,1.47
1.78,1.78
1.17,1.17
1.43,1.43
1.17,1.17
1.65,1.65
0.69,0.69
1.04,1.04
0.88,0.88
1.18,1.18
1.15,1.15
1.05,1.05
1.07,1.07
1.96,1.96
1.9,1.9
1.7,1.7
1.69,1.69
0.98,0.98
1.45,1.45
0.96,0.96
1.63,1.63
0.68,0.68
1.4,1.4
1.51,1.51
1.44,1.44
1.74,1.74
1.25,1.25
0.94,0.94
1.32,1.32
1.98,1.98
1.84,1.84
1.54,1.54
1.39,1.39
0.52,0.52
1.45,1.45
1.45,1.45
1.17,1.17
1.68,1.68
0.8,0.8
1.72,1.72
1.78,1.78
1.04,1.04
1.43,1.43
1.38,1.38
1.08,1.08
1.69,1.69
1.07,1.07
1.74,1.74
1.19,1.19
1.61,1.61
1.4,1.4
0.89,0.89
1.7,1.7
1.67,1.67
1.85,1.85
1.74,1.74
1.55,1.55
1.35,1.35
1.58,1.58
1.21,1.21
0.8,0.8
1.39,1.39
0.91,0.91
0.77,0.77
1.07,1.07
0.91,0.91
1.18,1.18
1.23,1.23
1.33,1.33
1.59,1.59
1.66,1.66
1.51,1.51
1.34,1.34
0.65,0.65
1.0,1.0
1.18,1.18
1.2,1.2
1.31,1.31
0.75,0.75
1.85,1.85
0.63,0.63
0.56,0.56
0.69,0.69
1.72,1.72
0.65,0.65
1.55,1.55
1.52,1.52
1.43,1.43
1.42,1.42
1.39,1.39
1.74,1.74
1.52,1.52
0.6,0.6
1.13,1.13
1.89,1.89
1.16,1.16
1.12,1.12
1.99,1.99
0.92,0.92
1.77,1.77
1.05,1.05
1.45,1.45
1.28,1.28
1.22,1.22
1.55,1.55
1.29,1.29
1.17,1.17
1.69,1.69
1.3,1.3
0.98,0.98
1.64,1.64
0.91,0.91
0.71,0.71
1.48,1.48
1.07,1.07
1.33,1.33
0.64,0.64
1.36,1.36
1.51,1.51
1.87,1.87
0.63,0.63
1.2,1.2
0.91,0.91
1.38,1.38
1.83,1.83
0.91,0.91
1.06,1.06
1.08,1.08
1.71,1.71
1.83,1.83
0.96,0.96
1.75,1.75
1.5,1.5
1.64,1.64
1.58,1.58
1.5,1.5
0.6,0.6
1.12,1.12
1.33,1.33
1.58,1.58
1.59,1.59
1.12,1.12
1.74,1.74
1.28,1.28
0.89,0.89
1.43,1.43
1.57,1.57
1.54,1.54
0.46,0.46
1.36,1.36
1.82,1.82
1.5,1.5
0.75,0.75
1.63,1.63
1.19,1.19
0.82,0.82
1.5,1.5
0.87,0.87
1.34,1.34
1.51,1.51
1.26,1.26
1.32,1.32
1.89,1.89
1.64,1.64
1.1,1.1
0.91,0.91
1.32,1.32
1.36,1.36
1.21,1.21
1.38,1.38
1.63,1.63
1.23,1.23
1.4,1.4
1.28,1.28
1.17,1.17
1.31,1.31
1.61,1.61
1.52,1.52
1.87,1.87
1.16,1.16
1.18,1.18
1.29,1.29
1.0,1.0
1.32,1.32
1.17,1.17
0.98,0.98
1.13,1.13
1.2,1.2
1.42,1.42
1.03,1.03
1.25,1.25
0.52,0.52
1.09,1.09
0.58,0.58
1.14,1.14
1.8,1.8
1.82,1.82
0.46,0.46
0.52,0.52
1.08,1.08
1.27,1.27
1.38,1.38
1.74,1.74
1.14,1.14
1.16,1.16
0.68,0.68
1.8,1.8
1.27,1.27
1.56,1.56
1.19,1.19
1.69,1.69
2.12,2.12
1.1,1.1
1.19,1.19
1.27,1.27
0.64,0.64
0.92,0.92
0.82,0.82
1.54,1.54
1.63,1.63
1.48,1.48
1.15,1.15
1.63,1.63
1.82,1.82
1.7,1.7
0.77,0.77
1.17,1.17
1.72,1.72
1.6,1.6
1.19,1.19
1.73,1.73
1.63,1.63
1.81,1.81
1.25,1.25
1.28,1.28
1.66,1.66
1.57,1.57
0.52,0.52
0.87,0.87
1.64,1.64
1.3,1.3
1.7,1.7
1.09,1.09
0.52,0.52
1.55,1.55
0.56,0.56
1.17,1.17
1.49,1.49
0.58,0.58
1.42,1.42
1.46,1.46
1.82,1.82
1.62,1.62
1.49,1.49
1.59,1.59
1.19,1.19
0.98,0.98
1.55,1.55
1.48,1.48
1.45,1.45
1.07,1.07
0.94,0.94
1.66,1.66
1.29,1.29
1.07,1.07
2.07,2.07
1.45,1.45
1.79,1.79
1.12,1.12
1.73,1.73
1.79,1.79
0.52,0.52
1.38,1.38
0.71,0.71
1.78,1.78
