train_pred,train_truth
1.3179999999999998,1.45
1.2,0.88
0.9940000000000001,1.03
1.318,1.39
1.262,1.16
1.56,1.54
1.864,1.94
1.2419999999999998,1.4
1.234,1.26
1.5080000000000002,1.58
1.7239999999999998,1.66
1.214,1.06
1.3139999999999998,1.24
1.156,1.08
1.534,1.71
1.404,1.47
1.8199999999999998,1.78
1.198,1.17
1.3039999999999998,1.43
1.192,1.17
1.6300000000000001,1.65
0.756,0.69
1.414,1.04
1.2,0.88
1.2239999999999998,1.18
1.318,1.15
1.15,1.05
1.3820000000000001,1.07
1.366,1.96
1.874,1.9
1.534,1.7
1.668,1.69
1.1500000000000001,0.98
1.3179999999999998,1.45
0.99,0.96
1.666,1.63
0.6460000000000001,0.68
1.502,1.4
1.326,1.51
1.456,1.44
1.7560000000000002,1.74
1.214,1.25
0.898,0.94
1.15,1.32
1.3800000000000001,1.98
1.668,1.84
1.438,1.54
1.4,1.39
0.596,0.52
1.3299999999999998,1.45
1.582,1.45
1.192,1.17
1.714,1.68
0.732,0.8
1.6119999999999997,1.72
1.6280000000000001,1.78
1.414,1.04
1.376,1.43
1.3,1.38
1.206,1.08
1.6780000000000002,1.69
1.3820000000000001,1.07
1.7560000000000002,1.74
1.3039999999999998,1.19
1.6219999999999999,1.61
1.3359999999999999,1.4
1.066,0.89
1.714,1.7
1.612,1.67
1.8560000000000003,1.85
1.714,1.74
1.374,1.55
1.2240000000000002,1.35
1.48,1.58
1.29,1.21
0.732,0.8
1.3679999999999999,1.39
0.9460000000000001,0.91
0.9240000000000002,0.77
0.942,1.07
0.8939999999999999,0.91
1.156,1.18
1.238,1.23
1.326,1.33
1.5059999999999998,1.59
1.652,1.66
1.544,1.51
1.4,1.34
0.6279999999999999,0.65
1.084,1.0
1.156,1.18
1.15,1.2
1.1840000000000002,1.31
0.66,0.75
1.8200000000000003,1.85
0.584,0.63
0.66,0.56
0.756,0.69
1.6300000000000001,1.72
0.6279999999999999,0.65
1.666,1.55
1.4860000000000002,1.52
1.3259999999999998,1.43
1.534,1.42
1.486,1.39
1.798,1.74
1.442,1.52
0.55,0.6
1.196,1.13
1.6280000000000001,1.89
1.088,1.16
1.174,1.12
0.8780000000000001,1.99
1.088,0.92
1.65,1.77
1.15,1.05
1.6119999999999997,1.45
1.0879999999999999,1.28
1.3760000000000001,1.22
1.5939999999999999,1.55
1.2220000000000002,1.29
1.198,1.17
1.668,1.69
1.3259999999999998,1.3
0.99,0.98
1.6280000000000001,1.64
0.8939999999999999,0.91
0.756,0.71
1.376,1.48
0.942,1.07
1.5059999999999998,1.33
0.628,0.64
1.1540000000000001,1.36
1.366,1.51
1.8800000000000001,1.87
0.584,0.63
1.16,1.2
0.8939999999999999,0.91
1.534,1.38
1.8200000000000003,1.83
0.9460000000000001,0.91
1.214,1.06
1.206,1.08
1.5939999999999999,1.71
1.864,1.83
0.99,0.96
1.714,1.75
1.544,1.5
1.6600000000000001,1.64
1.6280000000000001,1.58
1.486,1.5
0.55,0.6
0.9760000000000002,1.12
1.422,1.33
1.56,1.58
1.6119999999999997,1.59
1.174,1.12
1.748,1.74
1.3439999999999999,1.28
1.066,0.89
1.376,1.43
1.386,1.57
1.5559999999999998,1.54
0.55,0.46
1.36,1.36
1.8060000000000003,1.82
1.582,1.5
0.66,0.75
1.486,1.63
1.3039999999999998,1.19
0.9099999999999999,0.82
1.65,1.5
0.8939999999999999,0.87
1.4,1.34
1.48,1.51
1.084,1.26
1.222,1.32
1.864,1.89
1.674,1.64
1.04,1.1
0.8939999999999999,0.91
1.376,1.32
1.282,1.36
1.1460000000000001,1.21
1.486,1.38
1.5899999999999999,1.63
1.234,1.23
1.486,1.4
1.076,1.28
1.238,1.17
1.294,1.31
